snr_s,BER_BCJRs,BER_BNETs,BER_Nothing_s
0.0,0.135803915895062,0.143963638117284,0.207923900462963
0.5,0.105714216820988,0.117960551697531,0.200828510802469
1.0,0.0568696952160494,0.0848847415123457,0.199063464506173
1.5,0.0041425540123456,0.0172468171296296,0.195229552469136
2.0,0.0006322337962962,0.0026687885802469,0.190491415895062
2.5,0.0003115354938271,0.0012495177469135,0.189157503858025
3.0,0.0001393711419753,0.0005994405864197,0.185315875771605
3.5,4.62962962962963e-05,0.0002025462962962,0.177389081790123
4.0,4.38850308641975e-05,0.0001605902777777,0.178666087962963
4.5,2.02546296296296e-05,9.06635802469136e-05,0.173110050154321
5.0,1.78433641975309e-05,6.46219135802469e-05,0.166439043209877
5.5,1.20563271604938e-05,3.42399691358025e-05,0.162230420524691
6.0,1.20563271604938e-05,3.08641975308642e-05,0.152348090277778
6.5,3.37577160493827e-06,2.07368827160494e-05,0.145159143518519
7.0,2.41126543209877e-06,2.41126543209877e-05,0.13892650462963
7.5,2.89351851851852e-06,1.59143518518519e-05,0.134542824074074
8.0,2.41126543209877e-06,1.30208333333333e-05,0.124130015432099
