snr_s,BER_BCJRs,BER_BNETs,BER_Nothing_s
0.0,0.1348029996141975,0.148892505787037,0.20719931520061752
0.5,0.105774016203704,0.127533516589506,0.20103515625
1.0,0.056608796296296296,0.104110966435185,0.19950159143518548
1.5,0.0046257716049382,0.05294246720679015,0.1954728491512345
2.0,0.0006602044753085501,0.0076135706018518,0.190460551697531
2.5,0.0002912808641975,0.0021800250771604503,0.189204764660494
3.0,0.00012755594135800002,0.0010050154320987,0.1862135898919755
3.5,8.342978395059815e-05,0.0005162519290123,0.180038097993827
4.0,4.460841049382715e-05,0.00027078510802465,0.1768077256944445
4.5,3.59278549382716e-05,0.000172405478395,0.170553867669753
5.0,1.44675925925926e-05,9.211033950617286e-05,0.1663478973765435
5.5,1.398533950617285e-05,6.36574074074074e-05,0.16117621527777748
6.0,1.0609567901234556e-05,5.160108024691355e-05,0.1534401523919755
6.5,4.82253086419753e-06,3.641010802469135e-05,0.1462811053240745
7.0,3.375771604938275e-06,2.531828703703705e-05,0.142235484182099
7.5,2.652391975308645e-06,1.953125e-05,0.1360462480709875
8.0,1.4467592592592615e-06,1.1815200617283976e-05,0.122990210262346
,,,
,,,
,,,
,,,
